tipe,soal,gambar,opsi_a,poin_a,opsi_b,poin_b,opsi_c,poin_c,opsi_d,poin_d,opsi_e,poin_e
TWK,"""Pengumuman negara Papua Barat yang dideklarasikan Ketua Inited Liberation Movement For West Papua (ULMWP). Benny Wenda mendeklarasikan diri menjadi presiden sementara Paua Barat mulai 1 Desember 2020. Pada kasus ini anda dapat berpartisipasi bela negara demi menjaga kedaulatan NKRI dalam bentuk?""",,"""Membantu tetanggah saat membutuhkan pertolongan, keharmonisan bertetangga bagian dari satu kesatuan memperkuat NKRI""",0,"""Gerakan separatisme bersenjata sangat membahayakan persatuan, sudah sewajibnya masyarakat terlibat aktif dalam gerakan rakyat semesta""",0,"""Meningkatkan potensi diri dan keahlian yang dimiliki untuk beraktivitas dan berekspresi dalam organisasi kepemudaan""",0,"""Pemanfaatan media sosial melalui konten yang muatannya dikembangkan dan dikemas secara kreatif dan kekinian.""",0,"""Mensosialisasikan tentang pentingnya menjaga persatuan ditengah perkembangan gerakan-gerakan pemisahan diri""",5
TWK,"""Perhatikan tindakan berikut: 1) Melaporkan rencana pengiriman senjata ilegal kepada pihak berwenang 2) Membangun hubungan harmonis dengan tetangga 3) Mengadakan kegiatan penanaman pohon dan membersihkan sampah untuk mendukung pelestarian lingkungan. 4) Bekerja membantu orang tuanya berjualan makanan 5) Mengakui manusia Indonesia sebagai warga masyarakat dan warga negara punya kedudukan, hak, dan kewajiban yang sama. Implementasi bela negara generasi muda dalam upaya memperkuat pertahanan dan keamanan bangsa dan negara""",,"""1 dan 3""",5,"""3 dan 4""",0,"""4 dan 5""",0,"""2 dan 3""",0,"""1 dan 5""",0
TWK,"""Seorang warga negara telah menyadari bahwa ada kelompok ekstremis di lingkungannya yang merencanakan serangan terhadap fasilitas umum. Apa yang seharusnya ia lakukan dalam mendukung upaya bela negara dalam situasi ini...""",,"""Ia harus melaporkan aktivitas kelompok ekstremis kepada aparat keamanan dan pihak berwenang.""",5,"""Ia harus mendiskusikan kepada kelompok kepemudaan untuk melakukan aksi penangkapan""",0,"""Ia harus membiarkan kelompok ekstremis melanjutkan rencana mereka untuk menghindari akan konsekuensi bagi lingkungannya.""",0,"""Ia harus menyelesaikan masalah ini sendiri dengan melibatkan RW setempat""",0,"""Ia harus melibatkan media untuk publisitas kepada masyarakat tentang kelompok ekstremis dan mengungkapkan rencana serangan mereka.""",0
TWK,"""Dalam era modern peran teknologi sangat penting dalam mendukung aksi bela negara. Tidak hanya mempengaruhi cara berkomunikasi tetapi memiliki dampak besar dalam upaya bela negara. Berikut jawaban paling tepat mengenai peran teknologi dalam mendukung aksi bela negara yang sering terjadi dalam kehidupan sehari-hari adalah,...""",,"""Teknologi mengurangi ketergantungan negara pada pasokan senjata asing, dan meningkatkan kemandirian pertahanan negara""",0,"""Teknologi memungkinkan pelatihan yang lebih efektif melalui simulasi perang virtual dan meningkatkan keterampilan prajurit""",0,"""Teknologi memungkinkan pemantauan warga secara intensif untuk mengidentifikasi potensi ancaman terorisme atau subversif""",0,"""Teknologi memungkinkan publik berpartisipasi aktif dalam keamanan negara dengan berbagi informasi di media sosial""",5,"""Teknologi mengurangi jumlah personel militer yang diperlukan dalam operasi pertahanan dan""",0
TWK,"""Di sebuah desa, terdapat sebuah masjid yang memiliki peran penting dalam kehidupan masyarakat. Masjid ini menjadi tempat ibadah, tempat belajar agama, serta tempat berkumpul dan bermusyawarah untuk memecahkan masalah bersama. Dalam hal ini cerminan pasal 29 ayat 2 adalah....""",,"""Perekat dan pembina kehidupan beragama yang harmonis.""",0,"""Pendidikan dan pelatihan dalam hal keagamaan""",0,"""Partisipasi aktif dalam kegiatan sosial dan kemasyarakatan.""",0,"""Pemajuan dan pelestarian agama serta kebebasan beragama""",5,"""Tempat berkumpulnya masyarakat untuk berempati, saling membantu, dan bermusyawarah dalam menyelesaikan masalah bersama.""",0
TWK,"""Dalam pasal 27 ayat 1 segala warga negara bersamaan kedudukannya di dalam hukum dan pemerintahan dan wajib menjunjung hukum dan pemerintahan dengan tidak ada kecualinya. Prinsip demokrasi dalam pasal ini adalah keikutsertaan rakyat dalam pemerintahan, oleh sebab itu...""",,"""Pemimpin selalu memperhatikan aspirasi dan kesejahteraan rakyat""",0,"""Pemimpin harus selalu bertanggungjawab terhadap hak-hak rakyat""",0,"""Rakyat berhak dan wajib memilih pemimpin yang luhur budinya""",5,"""Rakyat dan pemimpin akan bersinergi dalam mencapai kemajuan dan kepentingan bersama""",0,"""Rakyat memiliki kedaulatan penuh sehingga kebijakan untuk kepentingan rakyat yaitu kesejahteraan""",0
TWK,"""Dalam suatu rapat tingkat Rukun Warga (RW) yang membahas program kerja selama 1 tahun kedepan, semua pengurus telah mengajukan rencananya masing-masing. Semua pengurus RW tidak ada yang merasa kalah meskipun usulan beberapa pengurus ada yang tidak disetujui untuk dijadikan program kerja pada tahap voting. Hal yang menunjukkan hubungan antara integritas dengan kebhinekaan adalah...""",,"""Komitmen pada kepentingan bersama akan menimbulkan sikap persatuan""",5,"""Menerima putusan musyawarah walaupun usulannya ditolak demi kepentingan bersama""",0,"""Putusan musyawarah bukti adanya kerelaan untuk mencapai kepentingan bersama""",0,"""Nilai kejujuran dalam setiap kegiatan yang dilakukan dalam bermusyawara menghasilkan keputusan yang tidak merugikan sebagian orang""",0,"""Masalah dalam kehidupan masyarakat diselesaikan secara musyawarah mufakat untuk menghindari kelompok tertentu menerima keuntungan""",0
TWK,"""Konflik sosial yang dilatar belakangi isu SARA pernah terjadi disuatu daerah. Selain membawa kerugian harta benda, trauma akibat konflik juga menjadi hambatan persatuan bangsa. Untuk itu diperlukan langkah yang tepat untuk menjaga Bhineka Tunggal Ika dengan cara......""",,"""Menanamkan pendidikan multikultural untuk menyelesaikan konflik yang terjadi di dalam masyarakat""",5,"""Menciptakan kesadaran arti pentingnya toleransi dengan memberikan pemahaman dan menghargai perbedaan suku, agama, ras, etnis""",0,"""Mengupayakan sikap tenggang rasa dengan mengalah pada kelompok lain""",0,"""Melibatkan lembaga hukum dalam mengatasi konflik antar umat beragama""",0,"""Menghentikan secara paksa setiap kali terjadi konflik dengan""",0
TWK,"""Pancasila merupakan falsafah negara, sehingga dalam urusan penyelenggaraan negara hendaknya sesuai dengan nilai-nilai yang terkandung Pancasila. Di bawah ini yang merupakan praktik penyelenggaraan negara sesuai dengan nilai persatuan tampak pada .....""",,"""Pemerintah mengupayakan pengembangan sistem jaminan sosial bagi masyarakat dengan tujuan untuk meminimalisasi terjadinya strata sosial""",0,"""Pemerintah berusaha dan memberikan kebebasan kepada warga negara untuk memilih pemimpin dan wakil rakyat dalam pemilihan umum demi menjaga persatuan dan kesatuan bangsa""",0,"""Pemerintah menguasai seluruh sumber daya alam yang ada di wilayah negara Indonesia dan melarang setiap pihak yang berusaha ingin memanfaatkannya""",0,"""Pemerintah memberlakukan pajak bagi warga negara yang memiliki pendapatan di atas wajib pajak dan membebaskan warga negara yang memiliki penghasilan di bawah ketentuan wajib pajak untuk tidak membayar pajak""",0,"""Pemerintah memberikan kebebasan bagi warga negara untuk mengembangkan budaya yang dimiliki setiap daerah serta mengakui keberagaman tersebut sebagai suatu kekayaan budaya nasional""",5
TWK,"""Sebagai seorang yang baru saja pindah ke lingkungan baru yang memiliki latar belakang yang berbeda. Lutfi disambut baik dengan para penghuni asrama, ia mengerti bahwa meski berbeda suku, bahasa, karakter bukan menjadi masalah yang besar untuk berbaur. Aktualisasi nilai pancasila untuk mewujudkan bhineka tunggal ika, karena...""",,"""Mewujudkan sikap ramah terhadap sesama penghuni asrama""",0,"""Memperkuat komunikasi sesama penghuni asrama""",0,"""Mewujudkan keharmonisan sesama penghuni asrama""",0,"""Menumbuhkan pergaulan sesama penghuni asrama""",5,"""Memperkuat toleransi sesama penghuni asrama""",0
